"","X","id","usernames","content.x","joined","timeout","clean_content","id_chat","channel","content_chat"
"11",11,"01GV167HYYFG0XXJ066Y0FBQZ9","niconaegelin11","21 /
Muay Thai Fighter / Swiss Millitary /
Former Michelin Star Chef /

Let`s WIN together my brothers!!
","2023-03-08T18:03:32.481Z","2024-07-17T10:14:20.335Z","21 muay thai fighter swiss millitary former michelin star chef lets win together brothers ","01J2D97AW3601NHRCP4WK0AC1J","01H261HJTJ4K6RM2WWGW5PS40E","Brother please focus. Use your energy towards your progress, Don`t use it on people you don`t like."
"12",12,"01GV167HYYFG0XXJ066Y0FBQZ9","niconaegelin11","21 /
Muay Thai Fighter / Swiss Millitary /
Former Michelin Star Chef /

Let`s WIN together my brothers!!
","2023-03-08T18:03:32.481Z","2024-07-17T10:14:20.335Z","21 muay thai fighter swiss millitary former michelin star chef lets win together brothers ","01J2D9HX5JAQM6A5XJY2643VZB","01H261HJTJ4K6RM2WWGW5PS40E","<@01GHGKMP5PD7ZXN27JV5MJF7S8>  <@01GJXA2XGTNDPV89R5W50MZ9RQ> <@01GGDGFNGWF9YKTARD4M4G5DJY> "
"13",13,"01HK0GF817F8980H9642B8HWB0","Hugo.BPL","Assistant Shop Manager at Hugo Boss | Active Private Trader in the Financial Markets

Switzerland | Portugal","2023-12-31T18:00:58.051Z",NA,"assistant shop manager hugo boss active private trader financial markets switzerland portugal","01HKA0JXZ9TS7HPXPCJ5EFMG17","01H261HJTJ4K6RM2WWGW5PS40E","Never heared of it, tell me more about that"
"14",14,"01HK0GF817F8980H9642B8HWB0","Hugo.BPL","Assistant Shop Manager at Hugo Boss | Active Private Trader in the Financial Markets

Switzerland | Portugal","2023-12-31T18:00:58.051Z",NA,"assistant shop manager hugo boss active private trader financial markets switzerland portugal","01HK78HCBE0XZ3A3HB2JX74YBC","01H261HJTJ4K6RM2WWGW5PS40E","Good Morning G’s"
"15",15,"01HK0GF817F8980H9642B8HWB0","Hugo.BPL","Assistant Shop Manager at Hugo Boss | Active Private Trader in the Financial Markets

Switzerland | Portugal","2023-12-31T18:00:58.051Z",NA,"assistant shop manager hugo boss active private trader financial markets switzerland portugal","01HK78HKHWRAD004RT6EH4V5M1","01H261HJTJ4K6RM2WWGW5PS40E","lets take over the matrix"
"16",16,"01HEG83537YEX192V5ZPQW2JW8","Istmagambet","- Entrepreneur (MBA, BA, BS, Swiss Boarding school)
- Kazakh Top G (on the way to be)","2023-11-05T17:22:33.885Z",NA," entrepreneur mba ba bs swiss boarding school kazakh top g way ","01J4BY058EFGPYK98E6BFPRC59","01H261HJTJ4K6RM2WWGW5PS40E","Depending on what your podcast will be about G, if it's something the 'Matrix' might not approve of, Rumble might be a better platform. Otherwise, YouTube will likely have more views."""
"17",17,"01HEG83537YEX192V5ZPQW2JW8","Istmagambet","- Entrepreneur (MBA, BA, BS, Swiss Boarding school)
- Kazakh Top G (on the way to be)","2023-11-05T17:22:33.885Z",NA," entrepreneur mba ba bs swiss boarding school kazakh top g way ","01J4BY9BY3G8BJ87HHV1RDQHYH","01H261HJTJ4K6RM2WWGW5PS40E","Yeah, in any case, if the videos are ready, I'd personally upload them to both platforms and see how they perform. Why not?)"
"18",18,"01HEG83537YEX192V5ZPQW2JW8","Istmagambet","- Entrepreneur (MBA, BA, BS, Swiss Boarding school)
- Kazakh Top G (on the way to be)","2023-11-05T17:22:33.885Z",NA," entrepreneur mba ba bs swiss boarding school kazakh top g way ","01J3JB3HV4FDD0CK4H46P53E5X","01H261HJTJ4K6RM2WWGW5PS40E","Hey G! I would suggest to align this opportunity with your long-term aspirations. Does becoming a frontman support your career or personal goals? If yes, consider proper time management so you can actually be effective in each aspect including this one. And remember, this will never be an excuse to skip on trainings and other TRW tasks. Keep up the good work, and wishing u and all of us here the best, make the right choices Gs!"
"19",19,"01HEG83537YEX192V5ZPQW2JW8","Istmagambet","- Entrepreneur (MBA, BA, BS, Swiss Boarding school)
- Kazakh Top G (on the way to be)","2023-11-05T17:22:33.885Z",NA," entrepreneur mba ba bs swiss boarding school kazakh top g way ","01J3A888YQBQHW58MCBH5XKBY1","01H261HJTJ4K6RM2WWGW5PS40E","Hey G, trust me, most of us are going through the same thing as you. So don’t give up! (that’s the only way to lose as we all know). 

For me this strategy helped a lot: all the things u have to do at home like cleaning/cooking/laundry and etc. plan as one thing together since most of it u don’t have to do on daily basis, just to it 1-2 a week but planned ahead. For example: cook in advance, not one meal at a time, but cook for like 2 hours several dishes or one that will last in amount for a few days at least. 

And for sure include at least one 1-1.5 hour each day for TRW, it’s more than enough to watch 2 lessons (I watch them at speed 1.25-1.5 cause prof Arno for me at lest talks sometimes a bit slow (it depends on ur level of English and ability to catch info quick), look up for any updates, rewatch live callls, do the marketing task and etc. U r already doing ur trainings so well done with that, keep it up. 

Otherwise, as Talisman says, you can always cut out on time of sleep a bit to win an extra half an hour or one hour, just make it not to effect ur overall productivity, sleep is also work💪🏼

Wish u all the best, the hustle can be frustrating, but let me remind u, hard work always pays off, keep the discipline, wish u all the best G, u can do it, all of us can do it! 💪🏼💪🏼💪🏼"
"20",20,"01HEG83537YEX192V5ZPQW2JW8","Istmagambet","- Entrepreneur (MBA, BA, BS, Swiss Boarding school)
- Kazakh Top G (on the way to be)","2023-11-05T17:22:33.885Z",NA," entrepreneur mba ba bs swiss boarding school kazakh top g way ","01J3A8F52MQJ1WWMV24S92G79D","01H261HJTJ4K6RM2WWGW5PS40E","My man, top G mentality all the way🚀"
"21",21,"01J26GCWNSHRRJ1VQ0TV3MQ9H1","Joa07","17 y/o 
From Switzerland 🇨🇭 🇮🇹
","2024-07-07T11:49:55.006Z",NA,"17 yo switzerland 🀹🀹 🀹🀹 ","01J65B8GYG6VMFA45VXQRYH3DM","01H261HJTJ4K6RM2WWGW5PS40E","That’s actually a good idea. I‘ve seen some silverpawns talking about going all in on Daddy and asking if it’s a good idea.."
"22",22,"01J26GCWNSHRRJ1VQ0TV3MQ9H1","Joa07","17 y/o 
From Switzerland 🇨🇭 🇮🇹
","2024-07-07T11:49:55.006Z",NA,"17 yo switzerland 🀹🀹 🀹🀹 ","01J5RF8AZX02ST3GWZHPT2X120","01H261HJTJ4K6RM2WWGW5PS40E","I see what you're telling us and I can agree (tell me if I misunderstood you).
In my school we had a national economics project, where you had to create your own business attend markets, enterprise presentations and pitches. What I definitely learned that year the most is, that preparation is key. If you are confident and know what to present you immediately display professionality and show that you know what you want. Also when talking to customers I've learned how to approach them with a more professional ""speech"", which also made me feel like the wanted to buy the product rather than showing a feeling of ""I have to buy this product from these amateurs"".
By the time I could tell which teams prepared themselfs and knew what they wanted and which just ""learned"" their speech instead of being able to actually telling the listeners what enterprise they represent."
"23",23,"01J26GCWNSHRRJ1VQ0TV3MQ9H1","Joa07","17 y/o 
From Switzerland 🇨🇭 🇮🇹
","2024-07-07T11:49:55.006Z",NA,"17 yo switzerland 🀹🀹 🀹🀹 ","01J5RDZVC0JE1J0W61E71K0TSD","01H261HJTJ4K6RM2WWGW5PS40E","My Condolences"
"24",24,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87WZTVZ77BRA8F3FZC7471H","01H261HJTJ4K6RM2WWGW5PS40E","impressive G"
"25",25,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87TPKCQH44CZ2ECAG4KXX45","01H261HJTJ4K6RM2WWGW5PS40E","That I can agree with for the most part"
"26",26,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87SBDX5XGFRF6Y6EEN7JQKS","01H261HJTJ4K6RM2WWGW5PS40E","alright G"
"27",27,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87SH6TQ899A73702XWGK47X","01H261HJTJ4K6RM2WWGW5PS40E","What do you do for work G?"
"28",28,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87TH78KBPZEX0FDY7KC6XFE","01H261HJTJ4K6RM2WWGW5PS40E","you talking to people in the chat or in general"
"29",29,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87KTAZTJA0P5W01QXEE7RBE","01H261HJTJ4K6RM2WWGW5PS40E","Good question. You should probably post it in the ""ask-luc"" Channel"
"30",30,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87KZXZ4VCCST5RCKND6419Z","01H261HJTJ4K6RM2WWGW5PS40E","Tristen once said something of a similar concept. Whatever you put out to the world is what you are. So if you say ""I'm tired"", you probably will be tired. But if you say ""I'm full of energy and am ready to conquer"", you will be full of energy"
"31",31,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87M7A9G4C0Y5N2Y47S7Z6T6","01H261HJTJ4K6RM2WWGW5PS40E","Doesn't that have a negative effect on muscle recovery? Since your body is already busy with fighting your cold or whatever, it wont be able to recover your muscles as well as it could if you were healthy"
"32",32,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87MFTMVCB00RT9JZ1XXGG7E","01H261HJTJ4K6RM2WWGW5PS40E","fair point. might not work for everyone but its a good idea"
"33",33,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87MYVAWHWW8E8NQ7E002BY5","01H261HJTJ4K6RM2WWGW5PS40E","It will be uploaded to the Unfair advantage cours soon"
"34",34,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87N4KP8V8H8R3A31ASKPE1A","01H261HJTJ4K6RM2WWGW5PS40E","ZH G. you?"
"35",35,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87NM392BFQ515E6K3ACJCVQ","01H261HJTJ4K6RM2WWGW5PS40E","Great nd productive day to you too G🤝"
"36",36,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87HEGQ636H2GPMX5W5K0EYG","01H261HJTJ4K6RM2WWGW5PS40E","Dont forget your coffee G's. **CONQUER THE DAY**"
"37",37,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87HM3ASXB9DMZYX97Z6C5CP","01H261HJTJ4K6RM2WWGW5PS40E","Start with a warm shower and then slam it to cold water for a few minutes"
"38",38,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87HTV8M96V0HA21ATPB4VW0","01H261HJTJ4K6RM2WWGW5PS40E","If you say so G. As long as you shower and look after your hygiene it doesn't really matter."
"39",39,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87JHVW0V181MFVVDJWK9M1G","01H261HJTJ4K6RM2WWGW5PS40E","Don't think it's uploaded yet G"
"40",40,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87JXYD4CS37G854F47CM299","01H261HJTJ4K6RM2WWGW5PS40E","Im doing an apprenticeship as a child carer. Only doing to make money in order to invest into my business. But I also train muay tahi and mma, so its fair to say, i also have a few skills under my belt. Nonetheless I bet your skills might be more valuable"
"41",41,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87K5EJNTPCF9XR98W1P2K9T","01H261HJTJ4K6RM2WWGW5PS40E","Stick with your sleep schedule for today. What I usually do is take 2 neo citran and some liquor (To open sweat pores) and then before going to sleep, put on sweatpants and a jumper to sweat like hell in my sleep. In the Morning I usually feel much better. "
"42",42,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J87KTAZTJA0P5W01QXEE7RBE","01H261HJTJ4K6RM2WWGW5PS40E","Good question. You should probably post it in the ""ask-luc"" Channel"
"43",43,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J875YX3V8XR7K4Y3FJKFF9PP","01H261HJTJ4K6RM2WWGW5PS40E","hope shes doing well anyway G"
"44",44,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J85TVETS6ACKEPC4EK4D6H7A","01H261HJTJ4K6RM2WWGW5PS40E","I talked to my parents about me being in TRW. They absolutely despise Andrew. But Used the Lessons I learned inside the Business Mastery course to make arguments and somewhat change their Mind about TRW. While they still despise the Idea, I was able to convince them that it will guide me to success. Since my parents are both very stubborn people and are hard to convince when they have made up their minds about something, I consider it as something difficult I have done in the last 48 hours."
"45",45,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J85V1WAT6RA0SMGSFYQT37EC","01H261HJTJ4K6RM2WWGW5PS40E","Yeah my dad is the type of person who watches BBC news every night and believes everything"
"46",46,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J7Y81J0V9XW58N2X1NAJWSWF","01H261HJTJ4K6RM2WWGW5PS40E","Good night to the G‘s going to sleep. Rest up and have a productive day tomorrow💪"
"47",47,"01J4FD13BQP53XN6A5H2J5TS8B","Fergus_zh","18-year-old from Switzerland with a passion for MMA and a drive for self-improvement. Focused on building discipline through sport while aspiring for wealth and success in all areas of life.
","2024-08-04T19:15:45.349Z",NA,"18yearold switzerland passion mma drive selfimprovement focused building discipline sport aspiring wealth success areas life ","01J7XKM97MQSXNSMPEQ24VP2K3","01H261HJTJ4K6RM2WWGW5PS40E","Good afternoon G‘s. Hope everyone is having a productive monday💪"
"48",48,"01H2XKX9RZ67435NJXM3BNC8V1","Shadow Work","Somewhere Pompeii & Posh… Like Geneva.","2023-06-14T18:53:53.809Z",NA,"somewhere pompeii posh… like geneva","01J7TR8AVAD1YAFCVXWR97TFA5","01H261HJTJ4K6RM2WWGW5PS40E","Go to Switzerland! If you don’t know anyone there Network with someone who does via Workaway.com"
"49",49,"01H2XKX9RZ67435NJXM3BNC8V1","Shadow Work","Somewhere Pompeii & Posh… Like Geneva.","2023-06-14T18:53:53.809Z",NA,"somewhere pompeii posh… like geneva","01J3RJXZHHBXXK5XZ4XMF115X7","01H261HJTJ4K6RM2WWGW5PS40E","Neon yellow"
"50",50,"01H2XKX9RZ67435NJXM3BNC8V1","Shadow Work","Somewhere Pompeii & Posh… Like Geneva.","2023-06-14T18:53:53.809Z",NA,"somewhere pompeii posh… like geneva","01J3GWDREDYV3EKEQYM11VA13Y","01H261HJTJ4K6RM2WWGW5PS40E","Thats what I’m doing 💪"
"51",51,"01H2XKX9RZ67435NJXM3BNC8V1","Shadow Work","Somewhere Pompeii & Posh… Like Geneva.","2023-06-14T18:53:53.809Z",NA,"somewhere pompeii posh… like geneva","01J30HD357PBG3XTD5MA58HE80","01H261HJTJ4K6RM2WWGW5PS40E","Find a friend who’s always asking you for some of what you got… go ahead.. ask me for some of my fire blood I dare ya!"
"52",52,"01H2XKX9RZ67435NJXM3BNC8V1","Shadow Work","Somewhere Pompeii & Posh… Like Geneva.","2023-06-14T18:53:53.809Z",NA,"somewhere pompeii posh… like geneva","01J2WC2H8GCQQJSEC8AZBZH7VN","01H261HJTJ4K6RM2WWGW5PS40E","Not missing my workout"
"53",53,"01H2XKX9RZ67435NJXM3BNC8V1","Shadow Work","Somewhere Pompeii & Posh… Like Geneva.","2023-06-14T18:53:53.809Z",NA,"somewhere pompeii posh… like geneva","01J2WDCD2E89BN0K56SC3ZCJW3","01H261HJTJ4K6RM2WWGW5PS40E","I remember losing my P.O.S. system pass at work and my boss told me that I had to pay for it.. or drop and do 50 pushups. I accepted the challenge and started doing the push ups. As my colleges surrounding me started counting the pushups out loud I can remembered my manager saying before I started that I couldn't do it and that Would have to pay the money. So my managers sitting on a barstool at the bar smoking a Cigaret paid no attention to me as everyone else colleges/ guests was rooting and counting on me to finish them in one go. When I reached 42 pushups and counting I could see from the side of my eye that he looked at me and didn't take his eyes off. At that moment I knew that it was time for me to show him that he was wrong about me. (Cool guy by the way, but a big asshole when he was on shift). I finished the 50 push ups... everyone cheered and he sat there in disbelief... SUCH IS THE WAY OF WUDAN"
"54",54,"01H2XKX9RZ67435NJXM3BNC8V1","Shadow Work","Somewhere Pompeii & Posh… Like Geneva.","2023-06-14T18:53:53.809Z",NA,"somewhere pompeii posh… like geneva","01J2WBQCAG6BM9JXVR3W7193VF","01H261HJTJ4K6RM2WWGW5PS40E","<@01GPV4ZREJSRV7CG3JKRJQRJKQ> Greetings Alex, My Fire Blood Essential All-in-One just came and as I was Reading the label I noticed a slight type error. It's really no big deal but still.. On the top of the front of the front facing label it says *AIKIDO SUPPLEMENTS and on the back where the barcode is on the label says ****AKIDO SUPPLEMENTS. Missing the I .."
"55",55,"01H2XKX9RZ67435NJXM3BNC8V1","Shadow Work","Somewhere Pompeii & Posh… Like Geneva.","2023-06-14T18:53:53.809Z",NA,"somewhere pompeii posh… like geneva","01J2SGH1NG1KE5ZJ2WHM3ZHKCW","01H261HJTJ4K6RM2WWGW5PS40E","pay"
"56",56,"01H2XKX9RZ67435NJXM3BNC8V1","Shadow Work","Somewhere Pompeii & Posh… Like Geneva.","2023-06-14T18:53:53.809Z",NA,"somewhere pompeii posh… like geneva","01J2S76W5690TRJAPZQG4WYZSN","01H261HJTJ4K6RM2WWGW5PS40E","If theirs anyone who’s from Switzerland that I can Network/ do Crypto work with kindly send me a DM please. Need some assistance."
"57",57,"01H2XKX9RZ67435NJXM3BNC8V1","Shadow Work","Somewhere Pompeii & Posh… Like Geneva.","2023-06-14T18:53:53.809Z",NA,"somewhere pompeii posh… like geneva","01J2KPT83Q5RKGS8PX3JNAX0QT","01H261HJTJ4K6RM2WWGW5PS40E","Anyone in Zurich Switzerland?? Hmu 🤙 "
"58",58,"01H2XKX9RZ67435NJXM3BNC8V1","Shadow Work","Somewhere Pompeii & Posh… Like Geneva.","2023-06-14T18:53:53.809Z",NA,"somewhere pompeii posh… like geneva","01J2GHSMMHQRBWV4X4Z89DE25F","01H261HJTJ4K6RM2WWGW5PS40E","which country is this"
"59",59,"01H2XKX9RZ67435NJXM3BNC8V1","Shadow Work","Somewhere Pompeii & Posh… Like Geneva.","2023-06-14T18:53:53.809Z",NA,"somewhere pompeii posh… like geneva","01J1SYSARBV5RRBKW0G5TMXC7A","01H261HJTJ4K6RM2WWGW5PS40E","Bro I almost bought some today? How is it??😀"
